"","inv2","inv3","website"
"132","Accomplice","5641942293544960","http://www.seed-db.com/investorgraph/investorview?investorid=5641942293544960"
"133","Accomplice","5815085108822016","http://www.seed-db.com/investorgraph/investorview?investorid=5815085108822016"
"134","Accomplice","6196655271444480","http://www.seed-db.com/investorgraph/investorview?investorid=6196655271444480"
"135","Acequia Capital","5764609340342272","http://www.seed-db.com/investorgraph/investorview?investorid=5764609340342272"
"136","Acequia Capital","6028619205836800","http://www.seed-db.com/investorgraph/investorview?investorid=6028619205836800"
"137","Acre Venture Partners","4900814598438912","http://www.seed-db.com/investorgraph/investorview?investorid=4900814598438912"
"138","Acta Wireless","5070452590379008","http://www.seed-db.com/investorgraph/investorview?investorid=5070452590379008"
"139","Acta Wireless","5678142576394240","http://www.seed-db.com/investorgraph/investorview?investorid=5678142576394240"
"140","Actinic Ventures","5705841810341888","http://www.seed-db.com/investorgraph/investorview?investorid=5705841810341888"
"141","Active Venture Partners","4811410605342720","http://www.seed-db.com/investorgraph/investorview?investorid=4811410605342720"
"142","Active Venture Partners","5725217229897728","http://www.seed-db.com/investorgraph/investorview?investorid=5725217229897728"
"143","Acumen","6309228880855040","http://www.seed-db.com/investorgraph/investorview?investorid=6309228880855040"
"144","Ad4Ventures","60393417091317764","http://www.seed-db.com/investorgraph/investorview?investorid=60393417091317764"
"145","Adam Berrey","4660448007815168","http://www.seed-db.com/investorgraph/investorview?investorid=4660448007815168"
"146","Adam Berrey","6252233121333248","http://www.seed-db.com/investorgraph/investorview?investorid=6252233121333248"
"147","Adam Bornstein","6677657781534720","http://www.seed-db.com/investorgraph/investorview?investorid=6677657781534720"
"148","Adam Bridgeman","4808618511695872","http://www.seed-db.com/investorgraph/investorview?investorid=4808618511695872"
"149","Adam Caplan","5119755132338176","http://www.seed-db.com/investorgraph/investorview?investorid=5119755132338176"
"150","Adam D&#39;Angelo","585556668553625639","http://www.seed-db.com/investorgraph/investorview?investorid=585556668553625639"
"151","Adam Doppelt","5318414985854976","http://www.seed-db.com/investorgraph/investorview?investorid=5318414985854976"
"152","Adam Draper","5753942759702528","http://www.seed-db.com/investorgraph/investorview?investorid=5753942759702528"
"153","Adam D’Angelo","6410319790342144","http://www.seed-db.com/investorgraph/investorview?investorid=6410319790342144"
"154","Adam Goldstein","4787153204674560","http://www.seed-db.com/investorgraph/investorview?investorid=4787153204674560"
"155","Adam Goldstein","5993280739213312","http://www.seed-db.com/investorgraph/investorview?investorid=5993280739213312"
"156","Adam Gross","5107221415329792","http://www.seed-db.com/investorgraph/investorview?investorid=5107221415329792"
"157","Adam Healey","5677736953643008","http://www.seed-db.com/investorgraph/investorview?investorid=5677736953643008"
"158","Adam Jackson","4717393637015552","http://www.seed-db.com/investorgraph/investorview?investorid=4717393637015552"
"159","Adam Krongold","4758649213812736","http://www.seed-db.com/investorgraph/investorview?investorid=4758649213812736"
"160","Adam Kunz","4939854420901888","http://www.seed-db.com/investorgraph/investorview?investorid=4939854420901888"
"161","Adam Lang","5274049684963328","http://www.seed-db.com/investorgraph/investorview?investorid=5274049684963328"
"162","Adam Lilling","5072177095245824","http://www.seed-db.com/investorgraph/investorview?investorid=5072177095245824"
"163","Adam McNamara","4905109611872256","http://www.seed-db.com/investorgraph/investorview?investorid=4905109611872256"
"164","Adam Nash","5112835134717952","http://www.seed-db.com/investorgraph/investorview?investorid=5112835134717952"
"165","Adam Pisoni","5114447093825536","http://www.seed-db.com/investorgraph/investorview?investorid=5114447093825536"
"166","Adam Quinton","6203339712757760","http://www.seed-db.com/investorgraph/investorview?investorid=6203339712757760"
"167","Adam Schwartz","5584241517658112","http://www.seed-db.com/investorgraph/investorview?investorid=5584241517658112"
"168","Adam Smith","5174232786927616","http://www.seed-db.com/investorgraph/investorview?investorid=5174232786927616"
"169","Adam Smith","6099376271261696","http://www.seed-db.com/investorgraph/investorview?investorid=6099376271261696"
"170","Adam Wiggins","5812939936235520","http://www.seed-db.com/investorgraph/investorview?investorid=5812939936235520"
"171","Adams Street Partners","5715158919806976","http://www.seed-db.com/investorgraph/investorview?investorid=5715158919806976"
"172","Adara Ventures","6182873354731520","http://www.seed-db.com/investorgraph/investorview?investorid=6182873354731520"
"173","AddVenture","5109604635639808","http://www.seed-db.com/investorgraph/investorview?investorid=5109604635639808"
"174","Adeyemi Ajao","5193209177178112","http://www.seed-db.com/investorgraph/investorview?investorid=5193209177178112"
"175","Adii Pienaar","6287502415495168","http://www.seed-db.com/investorgraph/investorview?investorid=6287502415495168"
"176","Adil Chaudry","6172134330073088","http://www.seed-db.com/investorgraph/investorview?investorid=6172134330073088"
